sentence,word,label
Yaar project ka deadline close hai,close,ENG
Yaar project ka deadline close hai,hai,URD
Main lecture attend nahi kar saka,Main,URD
Main lecture attend nahi kar saka,lecture,ENG
Main lecture attend nahi kar saka,attend,ENG
Main lecture attend nahi kar saka,nahi,URD
Main lecture attend nahi kar saka,kar,URD
Main lecture attend nahi kar saka,saka,URD
Aaj dinner bahar karte hain,Aaj,URD
Aaj dinner bahar karte hain,dinner,ENG
Aaj dinner bahar karte hain,bahar,URD
Aaj dinner bahar karte hain,karte,URD
Aaj dinner bahar karte hain,hain,URD
Tumhara laptop bohot fast hai,Tumhara,URD
Tumhara laptop bohot fast hai,laptop,ENG
Tumhara laptop bohot fast hai,bohot,URD
Tumhara laptop bohot fast hai,fast,ENG
Tumhara laptop bohot fast hai,hai,URD
Kal sir ne assignment explain ki,Kal,URD
Kal sir ne assignment explain ki,sir,ENG
Kal sir ne assignment explain ki,ne,URD
Kal sir ne assignment explain ki,assignment,ENG
Kal sir ne assignment explain ki,explain,ENG
Kal sir ne assignment explain ki,ki,URD
Main market se groceries le aya,Main,URD
Main market se groceries le aya,market,ENG
Main market se groceries le aya,se,URD
Main market se groceries le aya,groceries,ENG
Main market se groceries le aya,le,URD
Main market se groceries le aya,aya,URD
Please document upload kar dena,Please,ENG
Please document upload kar dena,document,ENG
Please document upload kar dena,upload,ENG
Please document upload kar dena,kar,URD
Please document upload kar dena,dena,URD
Aaj meeting bohot productive thi,Aaj,URD
Aaj meeting bohot productive thi,meeting,ENG
Aaj meeting bohot productive thi,bohot,URD
Aaj meeting bohot productive thi,productive,ENG
Aaj meeting bohot productive thi,thi,URD
Tum free ho let's go,Tum,URD
Tum free ho let's go,free,ENG
Tum free ho let's go,ho,URD
Tum free ho let's go,let's,ENG
Tum free ho let's go,go,ENG
Main movie download kar raha hoon,Main,URD
Main movie download kar raha hoon,movie,ENG
Main movie download kar raha hoon,download,ENG
Main movie download kar raha hoon,kar,URD
Main movie download kar raha hoon,raha,URD
Main movie download kar raha hoon,hoon,URD
Yeh coffee bohot amazing hai,Yeh,URD
Yeh coffee bohot amazing hai,coffee,ENG
Yeh coffee bohot amazing hai,bohot,URD
Yeh coffee bohot amazing hai,amazing,ENG
Yeh coffee bohot amazing hai,hai,URD
Kal exam ke baad celebrate karenge,Kal,URD
Kal exam ke baad celebrate karenge,exam,ENG
Kal exam ke baad celebrate karenge,ke,URD
Kal exam ke baad celebrate karenge,baad,URD
Kal exam ke baad celebrate karenge,celebrate,ENG
Kal exam ke baad celebrate karenge,karenge,URD
Main bohot excited hoon for tomorrow,Main,URD
Main bohot excited hoon for tomorrow,bohot,URD
Main bohot excited hoon for tomorrow,excited,ENG
Main bohot excited hoon for tomorrow,hoon,URD
Main bohot excited hoon for tomorrow,for,ENG
Main bohot excited hoon for tomorrow,tomorrow,ENG
Tumhara result finally aa gaya,Tumhara,URD
Tumhara result finally aa gaya,result,ENG
Tumhara result finally aa gaya,finally,ENG
Tumhara result finally aa gaya,aa,URD
Tumhara result finally aa gaya,gaya,URD
Please camera on kar lo,Please,ENG
Please camera on kar lo,camera,ENG
Please camera on kar lo,on,ENG
Please camera on kar lo,kar,URD
Please camera on kar lo,lo,URD
Main kal office nahi aaunga,Main,URD
Main kal office nahi aaunga,kal,URD
Main kal office nahi aaunga,office,ENG
Main kal office nahi aaunga,nahi,URD
Main kal office nahi aaunga,aaunga,URD
Yeh lecture samajhna easy tha,Yeh,URD
Yeh lecture samajhna easy tha,lecture,ENG
Yeh lecture samajhna easy tha,samajhna,URD
Yeh lecture samajhna easy tha,easy,ENG
Yeh lecture samajhna easy tha,tha,URD
Bhai game update kab ayegi,Bhai,URD
Bhai game update kab ayegi,game,ENG
Bhai game update kab ayegi,update,ENG
Bhai game update kab ayegi,kab,URD
Bhai game update kab ayegi,ayegi,URD
Main room clean kar chuka hoon,Main,URD
Main room clean kar chuka hoon,room,ENG
Main room clean kar chuka hoon,clean,ENG
Main room clean kar chuka hoon,kar,URD
Main room clean kar chuka hoon,chuka,URD
Main room clean kar chuka hoon,hoon,URD
Kal bohot important meeting hai,Kal,URD
Kal bohot important meeting hai,bohot,URD
Kal bohot important meeting hai,important,ENG
Kal bohot important meeting hai,meeting,ENG
Kal bohot important meeting hai,hai,URD
Main kal library jaunga after class,Main,URD
Main kal library jaunga after class,kal,URD
Main kal library jaunga after class,library,ENG
Main kal library jaunga after class,jaunga,URD
Main kal library jaunga after class,after,ENG
Main kal library jaunga after class,class,ENG
Yaar mera charger mil nahi raha,Yaar,URD
Yaar mera charger mil nahi raha,mera,URD
Yaar mera charger mil nahi raha,charger,ENG
Yaar mera charger mil nahi raha,mil,URD
Yaar mera charger mil nahi raha,nahi,URD
Yaar mera charger mil nahi raha,raha,URD
Tum assignment finish kar chuke ho,Tum,URD
Tum assignment finish kar chuke ho,assignment,ENG
Tum assignment finish kar chuke ho,finish,ENG
Tum assignment finish kar chuke ho,kar,URD
Tum assignment finish kar chuke ho,chuke,URD
Tum assignment finish kar chuke ho,ho,URD
Aaj lecture really informative tha,Aaj,URD
Aaj lecture really informative tha,lecture,ENG
Aaj lecture really informative tha,really,ENG
Aaj lecture really informative tha,informative,ENG
Aaj lecture really informative tha,tha,URD
Main office se ghar late aya,Main,URD
Main office se ghar late aya,office,ENG
Main office se ghar late aya,se,URD
Main office se ghar late aya,ghar,URD
Main office se ghar late aya,late,ENG
Main office se ghar late aya,aya,URD
Kal shopping karni hai with friends,Kal,URD
Kal shopping karni hai with friends,shopping,ENG
Kal shopping karni hai with friends,karni,URD
Kal shopping karni hai with friends,hai,URD
Kal shopping karni hai with friends,with,ENG
Kal shopping karni hai with friends,friends,ENG
Tum online the but reply nahi diya,Tum,URD
Tum online the but reply nahi diya,online,ENG
Tum online the but reply nahi diya,the,URD
Tum online the but reply nahi diya,but,ENG
Tum online the but reply nahi diya,reply,ENG
Tum online the but reply nahi diya,nahi,URD
Tum online the but reply nahi diya,diya,URD
Please file upload kar dena today,Please,ENG
Please file upload kar dena today,file,ENG
Please file upload kar dena today,upload,ENG
Please file upload kar dena today,kar,URD
Please file upload kar dena today,dena,URD
Please file upload kar dena today,today,ENG
Yeh phone bohot smooth chal raha hai,Yeh,URD
Yeh phone bohot smooth chal raha hai,phone,ENG
Yeh phone bohot smooth chal raha hai,bohot,URD
Yeh phone bohot smooth chal raha hai,smooth,ENG
Yeh phone bohot smooth chal raha hai,chal,URD
Yeh phone bohot smooth chal raha hai,raha,URD
Yeh phone bohot smooth chal raha hai,hai,URD
Main project complete kar ke soya,Main,URD
Main project complete kar ke soya,project,ENG
Main project complete kar ke soya,complete,ENG
Main project complete kar ke soya,kar,URD
Main project complete kar ke soya,ke,URD
Main project complete kar ke soya,soya,URD
Kal interview ka result ayega,Kal,URD
Kal interview ka result ayega,interview,ENG
Kal interview ka result ayega,ka,URD
Kal interview ka result ayega,result,ENG
Kal interview ka result ayega,ayega,URD
Tum bohot confident lag rahe ho,Tum,URD
Tum bohot confident lag rahe ho,bohot,URD
Tum bohot confident lag rahe ho,confident,ENG
Tum bohot confident lag rahe ho,lag,URD
Tum bohot confident lag rahe ho,rahe,URD
Tum bohot confident lag rahe ho,ho,URD
Mujhe meeting join karni hai,Mujhe,URD
Mujhe meeting join karni hai,meeting,ENG
Mujhe meeting join karni hai,join,ENG
Mujhe meeting join karni hai,karni,URD
Mujhe meeting join karni hai,hai,URD
Aaj dinner bohot delicious tha,Aaj,URD
Aaj dinner bohot delicious tha,dinner,ENG
Aaj dinner bohot delicious tha,bohot,URD
Aaj dinner bohot delicious tha,delicious,ENG
Aaj dinner bohot delicious tha,tha,URD
Main notes revise kar raha hoon,Main,URD
Main notes revise kar raha hoon,notes,ENG
Main notes revise kar raha hoon,revise,ENG
Main notes revise kar raha hoon,kar,URD
Main notes revise kar raha hoon,raha,URD
Main notes revise kar raha hoon,hoon,URD
Kal office mein bohot work tha,Kal,URD
Kal office mein bohot work tha,office,ENG
Kal office mein bohot work tha,mein,URD
Kal office mein bohot work tha,bohot,URD
Kal office mein bohot work tha,work,ENG
Kal office mein bohot work tha,tha,URD
Please laptop restart kar lo,Please,ENG
Please laptop restart kar lo,laptop,ENG
Please laptop restart kar lo,restart,ENG
Please laptop restart kar lo,kar,URD
Please laptop restart kar lo,lo,URD
Yeh task complete karna simple hai,Yeh,URD
Yeh task complete karna simple hai,task,ENG
Yeh task complete karna simple hai,complete,ENG
Yeh task complete karna simple hai,karna,URD
Yeh task complete karna simple hai,simple,ENG
Yeh task complete karna simple hai,hai,URD
Main abhi campus mein hoon,Main,URD
Main abhi campus mein hoon,abhi,URD
Main abhi campus mein hoon,campus,ENG
Main abhi campus mein hoon,mein,URD
Main abhi campus mein hoon,hoon,URD
Tumhara idea actually kaafi useful hai,Tumhara,URD
Tumhara idea actually kaafi useful hai,idea,ENG
Tumhara idea actually kaafi useful hai,actually,ENG
Tumhara idea actually kaafi useful hai,kaafi,URD
Tumhara idea actually kaafi useful hai,useful,ENG
Tumhara idea actually kaafi useful hai,hai,URD
Kal seminar attend karna zaroor,Kal,URD
Kal seminar attend karna zaroor,seminar,ENG
Kal seminar attend karna zaroor,attend,ENG
Kal seminar attend karna zaroor,karna,URD
Kal seminar attend karna zaroor,zaroor,URD
Main room decorate kar raha hoon,Main,URD
Main room decorate kar raha hoon,room,ENG
Main room decorate kar raha hoon,decorate,ENG
Main room decorate kar raha hoon,kar,URD
Main room decorate kar raha hoon,raha,URD
Main room decorate kar raha hoon,hoon,URD
Aaj bohot relaxing day tha,Aaj,URD
Aaj bohot relaxing day tha,bohot,URD
Aaj bohot relaxing day tha,relaxing,ENG
Aaj bohot relaxing day tha,day,ENG
Aaj bohot relaxing day tha,tha,URD
Tum mujhe update bhej dena,Tum,URD
Tum mujhe update bhej dena,mujhe,URD
Tum mujhe update bhej dena,update,ENG
Tum mujhe update bhej dena,bhej,URD
Tum mujhe update bhej dena,dena,URD
Main assignment submit kar chuka hoon,Main,URD
Main assignment submit kar chuka hoon,assignment,ENG
Main assignment submit kar chuka hoon,submit,ENG
Main assignment submit kar chuka hoon,kar,URD
Main assignment submit kar chuka hoon,chuka,URD
Main assignment submit kar chuka hoon,hoon,URD
Kal weather cloudy tha but nice,Kal,URD
Kal weather cloudy tha but nice,weather,ENG
Kal weather cloudy tha but nice,cloudy,ENG
Kal weather cloudy tha but nice,tha,URD
Kal weather cloudy tha but nice,but,ENG
Kal weather cloudy tha but nice,nice,ENG
Yeh app bohot useful nikli,Yeh,URD
Yeh app bohot useful nikli,app,ENG
Yeh app bohot useful nikli,bohot,URD
Yeh app bohot useful nikli,useful,ENG
Yeh app bohot useful nikli,nikli,URD
Main kal train se travel karunga,Main,URD
Main kal train se travel karunga,kal,URD
Main kal train se travel karunga,train,ENG
Main kal train se travel karunga,se,URD
Main kal train se travel karunga,travel,ENG
Main kal train se travel karunga,karunga,URD
Tum ready ho let's leave,Tum,URD
Tum ready ho let's leave,ready,ENG
Tum ready ho let's leave,ho,URD
Tum ready ho let's leave,let's,ENG
Tum ready ho let's leave,leave,ENG
Aaj mera schedule bohot busy hai,Aaj,URD
Aaj mera schedule bohot busy hai,mera,URD
Aaj mera schedule bohot busy hai,schedule,ENG
Aaj mera schedule bohot busy hai,bohot,URD
Aaj mera schedule bohot busy hai,busy,ENG
Aaj mera schedule bohot busy hai,hai,URD
Kal mera schedule bohot tight hai,Kal,URD
